source_page,sl_no,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,elevation,slope,aspect,plan_curvature,profile_curvature,twi,spi
500,20228,ME/EKJ/78O14/2015/52,Meghalaya,East Khasi Hills,NA,Near Dewsaw,25.576847,91.753423,Debris,Slide,NA,1706.00,19.75,345.54,-0.017696,-0.000734,5.7390,40.0547
500,20229,ME/EKJ/78O14/2015/53,Meghalaya,East Khasi Hills,NA,5 km Nongthliw,25.577212,91.75219,Debris,Slide,NA,1674.00,24.62,323.38,-0.004848,-0.001654,5.2071,38.3501
500,20230,MG/WJH/83C06/2018/1,Meghalaya,West Jaintia hills,Jonglawit slide,Jonglawit village,25.578206,92.266856,Soil,Slide,NA,1250.00,11.64,34.46,-0.013356,-0.003005,6.9880,45.9477
500,20231,ML/EKH/78O14/2014/03,Meghalaya,East Khasi Hills,Barapathar,Barapathar,25.57822,91.86545,Debris,Slide,23 September 2014,1459.00,7.90,312.05,-0.039465,-0.004289,8.0110,58.0764
500,20232,MG/WGH/78G14/2020/1,Meghalaya,West Garo Hills,Tura-Ampati road slide no1,"SH-12,Tura-Ampati Road, near Shakuri, Garobadha, Meghalaya.",25.58,89.99,Earth,Slide,NA,43.00,6.55,290.60,0.044639,0.001593,5.4920,3.2049
500,20233,MG/WKH/78O02/2017/58,Meghalaya,West Khasi Hills,Mawlynniang,Urkali Nongkhniang road,25.580703,91.237361,Debris,Slide,NA,1350.00,13.51,98.71,-0.000116,0.002389,5.8528,20.1068
500,20234,MG/WKH/78O02/2017/5,Meghalaya,West Khasi Hills,1.5 km NNW of Mawnar,NH44E,25.581572,91.181611,Debris,Slide,NA,1232.00,19.34,197.08,-0.006436,-0.001818,5.9847,48.9482
500,20235,MG/WKH/78O02/2017/6,Meghalaya,West Khasi Hills,0.9 km NNW of Mawlynngdep,NH44E,25.581822,91.189944,Debris,Slide,NA,1249.00,14.91,19.68,-0.025954,-0.003341,6.0382,29.6955
500,20236,ME/EKJ/78O14/2015/54,Meghalaya,East Khasi Hills,NA,Near Krang,25.581829,91.765659,Rock,Slide,NA,1694.00,21.36,123.22,-0.008127,-0.000161,4.9603,21.8149
500,20237,MG/WKH/78O02/2017/62,Meghalaya,West Khasi Hills,0.6 km SE of Umjaru,NH44E,25.581983,91.176972,Debris,Slide,NA,1251.00,24.75,178.89,0.013895,0.003934,5.2014,38.5664
500,20238,MG/WKH/78O02/2017/61,Meghalaya,West Khasi Hills,1.5 km N of Mawnar,NH44E,25.582061,91.185611,Debris,Slide,NA,1224.00,14.12,348.69,-0.012850,-0.002478,5.8073,21.0408
500,20239,ME/EKH/83C02/2015/149,Meghalaya,East Khasi Hills,NA,".5 km NE of Thangshalai, NH-44",25.582167,92.058333,Debris,Slide,NA,1169.00,12.17,156.74,0.001732,0.000628,5.5557,12.0268
500,20240,MG/WKH/78O02/2017/29,Meghalaya,West Khasi Hills,1.6 km N of Mawnar,NH44E,25.582836,91.183972,Debris,Slide,NA,1228.00,18.98,132.05,0.009220,-0.000029,5.7816,38.3803
500,20241,MG/WKH/78O02/2017/59,Meghalaya,West Khasi Hills,0.6 km NNW of Mawlynniang,Urkali Nongkhniang road,25.583236,91.237317,Debris,Slide,NA,1318.00,16.90,299.49,0.015300,0.003887,4.5197,8.4730
500,20242,MG/WKH/78O02/2017/4,Meghalaya,West Khasi Hills,0.5 km E of Umjaru,NH44E,25.585389,91.1765,Debris,Slide,NA,1211.00,7.58,325.08,-0.012457,0.000129,6.4435,11.1372
500,20243,ME/EKJ/78O14/2015/55,Meghalaya,East Khasi Hills,NA,Near Dewsaw,25.585875,91.777328,Rock,Fall,NA,1692.00,21.24,258.60,0.007066,-0.001571,4.9665,21.6776
500,20244,MG/WKH/78O06/2017/18,Meghalaya,West Khasi Hills,Myriaw slide,Myriaw village,25.587111,91.498556,Debris,Slide,NA,1567.00,17.52,20.79,0.022998,-0.000022,4.4814,8.8034
500,20245,ME/EKH/83C02/2015/150,Meghalaya,East Khasi Hills,NA,"1.2 km E of Diengpasoh, NH-44",25.592972,92.055139,Debris,Slide,NA,1003.00,39.25,145.21,0.009365,0.001972,5.1397,113.9318
500,20246,ME/EKJ/78O14/2015/18,Meghalaya,East Khasi Hills,NA,Lungkyrding- Mawpat Road,25.59578,91.917379,Earth,Subsidence,NA,1506.00,12.63,49.49,-0.019375,-0.005525,6.6159,37.4858
500,20247,MG/WKH/78O02/2017/67,Meghalaya,West Khasi Hills,2.7 km W of Umjaru,NH44E Umshinrut road,25.597614,91.153233,Debris,Slide,NA,1143.00,11.22,44.48,-0.028947,-0.000424,5.6392,11.0604
500,20248,MG/WKH/78O02/2017/2,Meghalaya,West Khasi Hills,0.6 km NW of Umjaru,NH44E,25.598908,91.175628,Debris,Slide,NA,1098.00,12.07,307.21,0.018040,-0.000899,4.8705,5.9645
500,20249,ME/EKJ/78O14/2015/46,Meghalaya,East Khasi Hills,NA,Umj jew- Lumpyngrope approach road,25.599096,91.859289,Earth,Slide,NA,1279.00,19.96,172.20,0.014958,0.006908,4.3411,10.1267
500,20250,MG/WKH/78O02/2017/3,Meghalaya,West Khasi Hills,0.5 km NW of Umjaru,NH44E,25.599575,91.1782,Soil,Slide,NA,1133.00,16.26,356.47,0.017098,0.001065,5.2536,16.2638
500,20251,ME/EKJ/78O14/2015/44,Meghalaya,East Khasi Hills,NA,Umj jew- Lumpyngrope approach road,25.599762,91.860814,Debris,Slide,NA,1298.00,16.18,208.62,-0.006017,0.005966,5.2588,16.1806
500,20252,ME/EKJ/78O14/2015/45,Meghalaya,East Khasi Hills,NA,Umj jew- Lumpyngrope approach road,25.599815,91.860028,Debris,Slide,NA,1292.00,23.26,171.00,-0.010574,0.000346,5.5590,47.9366
500,20253,MG/WKH/78O02/2017/69,Meghalaya,West Khasi Hills,0.7 km NW of Umjaru,NH44E,25.599817,91.176394,Debris,Slide,NA,1096.00,14.69,328.00,-0.000994,0.000236,4.6669,7.3114
500,20254,MG/WGH/78K02/2020/2,Meghalaya,West Garo Hills,Singimari-Tura road subsidence,"SH-2, Meghalaya, 300 m SE of Tiksali",25.6,90.03,Debris,Slide,2019,75.00,8.77,80.96,0.022162,-0.000273,5.1969,4.3035
501,20255,MG/WGH/78K06/2020/2,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 2,"NH-217,Paikan-Tura Dalu Road, Near Rongram bazaar",25.6,90.29,Debris,Slide,NA,601.00,19.34,197.08,-0.004175,0.006099,6.4545,78.3060
501,20256,MG/WKH/78O02/2017/70,Meghalaya,West Khasi Hills,0.6 km NNW of Umjaru,NH44E,25.600736,91.177453,Debris,Slide,NA,1079.00,17.24,339.71,0.004456,0.001738,5.5970,25.9594
501,20257,MG/WKH/78O02/2017/1,Meghalaya,West Khasi Hills,Rwiang,NH44E,25.602683,91.180708,Debris,Slide,NA,1060.00,22.11,347.25,0.002510,-0.003115,4.9222,22.6531
501,20258,ME/EKJ/78O15/2015/142,Meghalaya,East Khasi Hills,NA,Umj jew- Lumpyngrope approach road,25.60339,91.856222,Rock,Slide,NA,1245.00,30.81,344.30,-0.014391,-0.007556,5.6369,99.7655
501,20259,MG/WKH/78O02/2017/63,Meghalaya,West Khasi Hills,2.5 km W of Rwiang,NH44E Umshinrut road,25.606189,91.157706,Debris,Slide,NA,1170.00,8.58,47.96,0.009555,-0.002173,7.0110,25.2480
501,20260,ME/EKJ/78O14/2015/47,Meghalaya,East Khasi Hills,NA,Umj jew- Lumpyngrope approach road,25.606193,91.856276,Rock,Slide,NA,1193.00,31.02,343.99,0.003828,0.000828,4.5298,33.5396
501,20261,MG/WKH/78O02/2017/10,Meghalaya,West Khasi Hills,0.5 km NW of Rwiang,NH44E,25.606969,91.176158,Debris,Slide,NA,1131.00,20.81,180.00,0.003384,-0.000854,5.6820,42.3837
501,20262,MG/WKH/78O02/2017/68,Meghalaya,West Khasi Hills,2.7 km W of Rwiang,NH44E Umshinrut road,25.607458,91.157039,Debris,Slide,NA,1184.00,18.28,222.74,0.004959,-0.000507,5.5346,27.6269
501,20263,MG/WKH/78O02/2017/11,Meghalaya,West Khasi Hills,0.7 km NW of Rwaing,NH44E,25.607567,91.174906,Debris,Slide,NA,1145.00,18.86,200.76,-0.003499,-0.001850,6.1942,57.1389
501,20264,MG/WGH/78K06/2020/1,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 1,"NH-217,Paikan-Tura Dalu Road",25.61,90.29,Debris,Slide,2019,565.00,9.89,184.42,-0.012804,0.001675,5.7679,9.7229
501,20265,MG/WGH/78K06/2020/3,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 3,"NH-217,Paikan-Tura Dalu Road",25.61,90.29,Debris,Slide,NA,565.00,9.89,184.42,-0.012804,0.001675,5.7679,9.7229
501,20266,MG/WGH/78K06/2020/4,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 4,"NH-217,Paikan-Tura Dalu Road",25.61,90.29,Debris,Slide,2019,565.00,9.89,184.42,-0.012804,0.001675,5.7679,9.7229
501,20267,MG/WGH/78K06/2020/5,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 5,"NH-217,Paikan-Tura Dalu Road",25.61,90.29,Debris,Slide,NA,565.00,9.89,184.42,-0.012804,0.001675,5.7679,9.7229
501,20268,MG/WGH/78K06/2020/6,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 6,"NH-217,Paikan-Tura Dalu Road",25.61,90.3,Debris,Slide,NA,692.00,11.89,321.89,-0.013322,-0.004601,6.9651,46.9886
501,20269,MG/WGH/78K06/2020/7,Meghalaya,West Garo Hills,Rongram-Jengjal road slide 7,"NH-217,Paikan-Tura Dalu Road",25.61,90.31,Debris,Slide,NA,671.00,5.17,312.04,0.028667,0.001094,5.7300,2.5248
501,20270,MG/WKH/78O02/2017/98,Meghalaya,West Khasi Hills,0.6 km NE of Langumshing,NH44E,25.611361,91.022019,Debris,Slide,NA,938.00,15.13,234.33,-0.017388,-0.007417,6.4277,45.2356
501,20271,MG/WJH/83C06/2018/7,Meghalaya,West Jaintia hills,Barato slide,2 km North of Barato,25.611931,92.452931,Debris,Slide,NA,993.00,10.93,273.60,-0.016692,0.002517,6.9183,37.6994
501,20272,ME/EKJ/78O14/2015/33,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.612528,91.870861,Earth,Slide,NA,1328.00,23.71,298.60,0.005605,-0.002074,4.8442,24.4881
501,20273,MG/WKH/78O02/2017/71,Meghalaya,West Khasi Hills,Mawruksoin,NH44E,25.612794,91.173697,Debris,Slide,NA,1157.00,13.49,256.35,0.000725,-0.006073,5.4488,13.3776
501,20274,ME/EKJ/78O15/2015/78,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.613583,91.871778,Earth,Slide,NA,1317.00,17.34,317.56,-0.028528,-0.006734,8.5174,487.5347
501,20275,ME/EKJ/78O14/2015/34,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.613917,91.868639,Earth,Slide,NA,1282.00,29.59,343.96,-0.001540,0.001105,4.9926,47.4993
501,20276,ME/EKJ/78O14/2015/35,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.614112,91.869632,Earth,Slide,NA,1291.00,22.43,334.26,-0.003111,0.003682,4.9058,23.0247
501,20277,ME/EKJ/78O14/2015/36,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.614537,91.87005,Earth,Slide,NA,1285.00,23.75,323.05,-0.007758,-0.000157,4.8420,24.5400
501,20278,ME/EKJ/78O14/2015/38,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.614657,91.870692,Earth,Slide,NA,1289.00,25.64,343.73,0.017618,0.003289,4.0619,13.3856
501,20279,ME/EKJ/78O14/2015/37,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.614664,91.870266,Earth,Slide,NA,1282.00,24.75,330.26,0.005436,-0.001093,5.2012,38.5543
501,20280,ME/EKJ/78O14/2015/39,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.614807,91.871158,Earth,Slide,NA,1294.00,27.45,340.33,-0.006941,-0.000177,5.0816,43.4508
501,20281,ME/EKJ/78O14/2015/40,Meghalaya,East Khasi Hills,NA,Old shillong -Guwahati road,25.614912,91.871711,Earth,Slide,NA,1279.00,32.59,357.59,-0.010136,-0.003724,4.8741,53.4743
