record_type,record_id,latitude,longitude,spatial_block_id,spatial_block_name,sample_ratio_tier,min_dist_to_landslide_m,nearest_positive_sl_no,colocation_duplicate_flag
PSEUDO_ABSENCE,NEG_0253,25.443956,92.688456,5,Jaintia Hills Block,1:1,10926.10,19996,NO
PSEUDO_ABSENCE,NEG_0254,25.584376,91.475149,2,West Khasi Block,1:1,2367.13,20244,NO
PSEUDO_ABSENCE,NEG_0255,25.494923,90.079409,1,Garo Hills Block,1:1,10711.32,20127,NO
PSEUDO_ABSENCE,NEG_0256,25.128633,91.218252,2,West Khasi Block,1:1,8201.44,19737,NO
PSEUDO_ABSENCE,NEG_0257,25.695885,92.352001,4,Ri-Bhoi Block,1:1,13765.64,20271,NO
PSEUDO_ABSENCE,NEG_0258,25.990181,89.800929,1,Garo Hills Block,1:1,49074.41,20254,NO
PSEUDO_ABSENCE,NEG_0259,25.408659,91.343052,2,West Khasi Block,1:1,4014.64,20064,NO
PSEUDO_ABSENCE,NEG_0260,25.428873,92.067028,5,Jaintia Hills Block,1:1,3756.89,20068,NO
PSEUDO_ABSENCE,NEG_0261,25.159484,91.617705,3,East Khasi Block,1:1,2535.15,19719,NO
PSEUDO_ABSENCE,NEG_0262,25.531737,91.268004,2,West Khasi Block,1:1,651.53,20123,NO
PSEUDO_ABSENCE,NEG_0263,26.022616,92.642708,4,Ri-Bhoi Block,1:1,22175.81,20534,NO
PSEUDO_ABSENCE,NEG_0264,25.926430,90.893547,1,Garo Hills Block,1:1,18102.03,20420,NO
PSEUDO_ABSENCE,NEG_0265,25.325805,90.115407,1,Garo Hills Block,1:1,8316.06,20578,NO
PSEUDO_ABSENCE,NEG_0266,25.489760,91.559371,2,West Khasi Block,1:1,4034.43,20113,NO
PSEUDO_ABSENCE,NEG_0267,25.937828,90.196555,1,Garo Hills Block,1:1,29385.82,20415,NO
PSEUDO_ABSENCE,NEG_0268,25.243941,91.692949,3,East Khasi Block,1:1,915.96,19837,NO
PSEUDO_ABSENCE,NEG_0269,25.197909,91.247183,2,West Khasi Block,1:1,1370.18,19737,NO
PSEUDO_ABSENCE,NEG_0270,25.021156,91.306889,2,West Khasi Block,1:1,20506.83,19721,NO
PSEUDO_ABSENCE,NEG_0271,25.381603,89.999488,1,Garo Hills Block,1:1,6113.18,20578,NO
PSEUDO_ABSENCE,NEG_0272,25.908892,90.786481,1,Garo Hills Block,1:1,21685.06,20403,NO
PSEUDO_ABSENCE,NEG_0273,25.801733,90.561673,1,Garo Hills Block,1:1,12250.88,20415,NO
PSEUDO_ABSENCE,NEG_0274,25.779896,91.961194,4,Ri-Bhoi Block,1:1,6247.23,20408,NO
PSEUDO_ABSENCE,NEG_0275,25.047141,91.060022,2,West Khasi Block,1:1,16157.47,19727,NO
PSEUDO_ABSENCE,NEG_0276,25.347006,91.457366,2,West Khasi Block,1:1,3207.61,19923,NO
PSEUDO_ABSENCE,NEG_0277,25.281815,91.875349,3,East Khasi Block,1:1,808.67,19887,NO
PSEUDO_ABSENCE,NEG_0278,25.979078,91.327997,4,Ri-Bhoi Block,1:1,20997.16,20424,NO
PSEUDO_ABSENCE,NEG_0279,25.046054,90.780546,1,Garo Hills Block,1:1,23585.06,20577,NO
PSEUDO_ABSENCE,NEG_0280,25.113733,92.187133,5,Jaintia Hills Block,1:1,3844.64,19688,NO
PSEUDO_ABSENCE,NEG_0281,25.301669,91.702108,3,East Khasi Block,1:1,2436.45,19900,NO
PSEUDO_ABSENCE,NEG_0282,25.304607,92.801322,5,Jaintia Hills Block,1:1,10679.37,19910,NO
PSEUDO_ABSENCE,NEG_0283,25.566198,91.607639,3,East Khasi Block,1:1,1879.12,20593,NO
PSEUDO_ABSENCE,NEG_0284,25.049943,89.881273,1,Garo Hills Block,1:1,40535.82,19854,NO
PSEUDO_ABSENCE,NEG_0285,25.164823,92.402583,5,Jaintia Hills Block,1:1,1429.19,19712,NO
PSEUDO_ABSENCE,NEG_0286,25.108515,92.356500,5,Jaintia Hills Block,1:1,624.99,19667,NO
PSEUDO_ABSENCE,NEG_0287,26.081740,90.523704,1,Garo Hills Block,1:1,33502.41,20415,NO
PSEUDO_ABSENCE,NEG_0288,25.053119,91.425616,2,West Khasi Block,1:1,13555.42,19708,NO
PSEUDO_ABSENCE,NEG_0289,25.108966,90.206580,1,Garo Hills Block,1:1,16169.65,19854,NO
PSEUDO_ABSENCE,NEG_0290,25.167530,91.612548,3,East Khasi Block,1:1,1760.50,19719,NO
PSEUDO_ABSENCE,NEG_0291,25.123196,91.274193,2,West Khasi Block,1:1,9550.41,19737,NO
PSEUDO_ABSENCE,NEG_0292,25.727735,90.692487,1,Garo Hills Block,1:1,13086.92,20403,NO
PSEUDO_ABSENCE,NEG_0293,25.142359,91.309892,2,West Khasi Block,1:1,10018.82,19721,NO
PSEUDO_ABSENCE,NEG_0294,25.216540,91.930671,3,East Khasi Block,1:1,3526.00,19819,NO
PSEUDO_ABSENCE,NEG_0295,25.273160,91.345484,2,West Khasi Block,1:1,642.75,19881,NO
PSEUDO_ABSENCE,NEG_0296,25.357441,91.461680,2,West Khasi Block,1:1,2402.40,20595,NO
PSEUDO_ABSENCE,NEG_0297,25.072347,90.886833,1,Garo Hills Block,1:1,20355.59,19727,NO
PSEUDO_ABSENCE,NEG_0298,25.673744,91.185038,4,Ri-Bhoi Block,1:1,682.13,20367,NO
PSEUDO_ABSENCE,NEG_0299,25.717682,90.400954,1,Garo Hills Block,1:1,7813.33,20336,NO
PSEUDO_ABSENCE,NEG_0300,25.442167,92.728948,5,Jaintia Hills Block,1:1,14031.73,19996,NO
PSEUDO_ABSENCE,NEG_0301,25.919121,92.835038,4,Ri-Bhoi Block,1:1,9819.55,20534,NO
PSEUDO_ABSENCE,NEG_0302,25.321692,90.053201,1,Garo Hills Block,1:1,6703.65,20578,NO
